first quarantine streams

quarantine streams 20200331 pt1.mp4

link
02:22, 02:40, 3/5, ending falcon tour dreamland
02:59, 03:17, 3/5, little arrow tap
04:25, 04:47, 4.5/5, kill falcon off cc
05:06, 05:18, 3/5, arrow catches phantasm
05:37, 05:57, 3/5, drop bomb hit boomerang strong spin
07:40, 07:50, 5/5, lmao die
09:06, 09:19, 3.5/5, stay offstage
10:48, 10:59, 5/5, fair edgecancel fair
11:07, 11:25, 5/5, dsmash on every plat
11:47, 11:58, 5/5, bomb waveland spin
12:24, 12:44, 4/5, creative 0 to death
12:50, 13:11, 3.5/5, tilts can 0 to death
13:32, 13:49, 3/5, slow and steady win
16:06, 16:12, 2.5/5, classic boomerang arrow spin edgeguard
16:32, 16:49, 3.5/5, clean 50 to take the stock
17:51, 18:07, 3/5, uptilt converts at 40
18:18, 18:33, 4/5, take falco stock
18:56, 19:11, 3.5/5, cross stage snipe
22:54, 23:16, 4/5, 0 to death on fox with jab trick
23:30, 23:45, 3/5, combo to classic edgeguard
24:00, 24:22, 4/5, fun fire stage stock
24:50, 25:00, 3.5/5, lol samus falls into arrow
25:45, 25:58, 3/5, crazy dair horizontal stage bounce

fox
00:10, 00:23, 2.5/5, upsmash read after combo
00:44, 01:06, 3/5, wall jump missed edgeguard save (stuttery audio)
01:24, 01:36, 3/5, fox stuff

quarantine streams 20200331 pt2.mp4

link
00:59, 01:13, 3.5/5, mountain stage dairs
02:31, 02:40, 3/5, steal a stock with 2nd hit fsmash
04:30, 04:35, 2.5/5, catch bomb off shine
05:40, 05:47, 3/5, spin slideoff-arrow spin
09:45, 09:52, 3/5, three hitboxes of upb

#pt3 and 4 meh
